OriginalTweet,Attitude,Emotion,Link
"b""@FLbeachrealtor @johnpilger NATO doesn't want Ukraine because US and Europe would be brought in direct conflict with Russia. The video shows a US journalist with a track record of reporting in favour of Russia, embedded on the Russian side, interviewing Russian separatists,which in my view is problematic.""",0,0,#VALUE!
b'@kfc Financing the Russian market means supporting the war crimes of the Russian fascists in Ukraine. All those who cooperate with terrorists will be responsible for the deaths of innocent Ukrainians. Stop business in russia!',1,1,#VALUE!
"b'These men may be ""heroes"" in Russia, but they represent a military that preys on weaker opponents, commits war crimes, and fights unjust wars on innocent people. Vile scum and killers. @Russia\n\nThe heavy losses of an elite Russian regiment in Ukraine\nhttps://t.co/SbOQfn1RDK'",0,0,https://t.co/SbOQfn1RDK
b'@RussianEmbassy @mfa_russia @RusembUkraine @RusEmbUSA @RusMission_EU @BBCWorld @SkyNews @ftworldnews @guardianworld @TelegraphWorld @spectator West didn\'t have to work at it.\nThere was no threat from Ukraine or any of the other ex-Soviet states until Putin\'s invasion. \nNeo-Nazi describes "I\'m going to elect myself" Putin exactly.',1,0,#VALUE!
b'#NGO = #DARKNESS! #RUSSIA/#PUTIN is fighting it! West is corrupt. End Globalization. \n\n#WakeUp #Evil #NATO #US #EUROPE #Z #V #O #UKRAINE #BIOLABS #HATE #LOVE',0,0,#VALUE!
"b'@GrayConnolly USSR collapsed due to corruption and incompetence in 89-91.   Everything russia has done in Ukraine can be explained by corruption &amp; incompetence, its simple really, not Putin playing 4D chess.  Your over thinking this in a western mindset.  Think of Russia as being Trump'",1,0,#VALUE!
b'@ImJohnEli There are no winners here. Russia will be the loser if Ukraine is able to maintain its territorial integrity. The world will also be the winner in that instance.',0,0,#VALUE!
b'@DrChrisParry All future gas/money paid to Russia will only pay for Ukraine reparation.',0,0,#VALUE!
b"@armscontrol_rus @EUinRussia @eurouacom @RussiaUN @RussianEmbassy @Rusembchina @torgpredstvo @balkanist2019 @BelarusMID @srbijainfo @AmbasadaRusije To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.",1,1,#VALUE!
"b'@EmineErdogan #BJP is creating war between #muslims &amp; #Hindu our country #India by spreading #islamophobiainindia like war between #Ukraine and #Russia . #Karauli ,#Mariupol ,#chechenos ,#HalalPeHungama ,#Halal ,#BajrangDal ,#Chechnya ,#Chechen ,#Turkey . Stop future #Muslimgenocide in #India'",1,0,#VALUE!
b'@PerAhlberg1 @RonOBrien17 @christogrozev I agree from a moral perspective. But I unfortunately don\xe2\x80\x99t see which juridiction can force Russia to pay reparations to Ukraine. France did to Germany in 1871 after the 1871 peace treaty. The other way around in 1918 and 1945. Nobody went to any tribunals for the reparations',1,0,#VALUE!
b"extremely poor planning on ian's part to try and crowdfund a book written by an azov guy before russia declared war on ukraine and people stopped caring about them being nazis",1,0,#VALUE!
"b""@wride_nicholas @STWuk 800 + military bases around the world. The USA would definitively get a base or more in Ukraine if Ukraine joined NATO, despite it's pivot to China. Russia seems to have just a handful of bases outside Russia. The US Federal Reserve prints all the money the US needs.""",0,0,#VALUE!
"b'@tripplexdm @Casey @ptuxerman Stepan Bandera, I know he is a hero for some Ukrainians , but being in SS and kill many from Ukraine, Russia and Belorussian. And many of his followers burn so many villages in \xf0\x9f\x87\xa7\xf0\x9f\x87\xbe'",0,0,#VALUE!
"b""Since Russia started a war in Ukraine, I've been immediately on full alert when the (common-ish) siren for volunteer firefighters goes off. It's a different tone pattern to the general danger siren, but you only know the pattern for sure after listening for more than 15 seconds\xe2\x80\xa6""",1,0,#VALUE!
b"@armscontrol_rus @RusEmbUSA @Sadigbayli @mfa_russia @mission_rf @mission_russian @lesiavasylenko @aavst20551 @l2989999 @ambrusburundi To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.",1,1,#VALUE!
b'via @NYTimes\nGlory to Ukraine  https://t.co/HjPZFO28yV',1,1,https://t.co/HjPZFO28yV
b'\xf0\x9f\x87\xb7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xbe Battle-hardened Syrian volunteers have started arriving in Russia to assist the forces of the Russian Federation in its special military operation in Ukraine.\n\n\xf0\x9f\xaa\x96 #UkraineRussianWar',0,0,#VALUE!
b"@armscontrol_rus @osce_ru @RF_OSCE @ambrusburundi @LV_RUSEMBAS @Russian_Emb_MKD @russembkenya @RussianEmbassyR @CG_Russia_Brno @rusemb_tm @rianru To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.",1,1,#VALUE!
b'Russia vows to target British-made weapons https://t.co/zeqp9RJi4H via @MailOnline',0,0,https://t.co/zeqp9RJi4H via @MailOnline
"b'@kfc Murders, robberies, violence are all that russia is doing in Ukraine today. By cooperating with russia, you become a participant of all these crimes. Do not cooperate with Russia!'",1,1,#VALUE!
b'@IAPonomarenko The fact that Ukraine has not taken responsibility for the attack inside Russia is driving Putin nuts. Was it Ukraine? Was it an accident? Was it his own soldiers sabotaging a war they did not sign up for?',0,1,#VALUE!
"b'@McConnellMG808 @DarkaHirna @AVindman More dead soldiers from RF will not help. Ukraine needs better weapons so that Russia will withdraw completely and not attack again, anywhere in Ukraine.'",0,0,#VALUE!
"b'@IAPonomarenko If any Western countries try to sweep this war (crime) against Ukraine under the carpet and try to go back to business as usual with Russia. Then everyone needs to hold these politicians, these greedy corporations accountable as if they are as guilty as Putin. No more is this OK.'",1,0,#VALUE!
b'#Enerhodar #Ukraine now. #Russia #RussianArmedForces are shooting civil people - that declare that they are still against #RussiaInvadedUkraine. #RussiaWarCrimes. #PutinWarCrimes https://t.co/BZHu3O9mDj',1,0,https://t.co/BZHu3O9mDj
b'Biden warns China about supporting Russia amid war in\xc2\xa0Ukraine https://t.co/tkVSHSXziO',1,0,https://t.co/tkVSHSXziO
"b'@RussiaUN @mod_russia @mfa_russia @RusEmbUSA @RussianEmbassy @AmbRusFrance @UNCANews @vrobecco @PamelaFalk @baysontheroad @kambizf @pass_blue Send this postcard from Ukraine to your fuking boss, please. https://t.co/vSEcXC6CPC'",0,1,https://t.co/vSEcXC6CPC
b"@Krzyszt82966282 @damselpoison @GMimi62 @FransGotThis @olya_rudenko @NATO NATO and Russia fighting each other directly to protect Ukraine sovereignty. We're all going to die in a nuclear war so Ukraine can be free to be a puppet of the USA?",0,1,#VALUE!
"b'The seasons are changing, Spring is here. It\'s time for seasonal flus, colds and allergies. Lets not let our gov\'t, and media, instigate more Covid hysteria; more mandates, Vaxx promoting,  etc. ... let""s not be fools! #COVID19 #BidenCrimeFamilly #Fauci #Ukraine #Russia https://t.co/of9Pn7NcqK'",0,1,https://t.co/of9Pn7NcqK
b'@kfc Your cooperation with the Russian market is your attitude to the war in Ukraine. You are sponsoring the war and the killing of Ukrainians while staying in the Russian market. Stop your business in Russia!',1,1,#VALUE!
"b""me:  []\n11yo:  is that good or bad?\nme:  [potted history of far left politics, USSR, russia, ukraine, Corbyn]\n11yo:  I'll have the Chicken Legend again.  Don't forget the ketchup.""",0,0,#VALUE!
"b'@arthuromeo @RALee85 Yes completely aware. But sadly that only counts for so much. Listen, i hope Ukraine kicks russia completely out of the whole of Ukraine but its much easier to defend then go an the attack even with numbers.'",1,1,#VALUE!
